case_id,configuration_id,scenario,eeg_snr_db,meg_snr_db,method,status,has_surface_true,auc,auc_tie_corrected,surface_auc_tie_corrected,deep_auc_tie_corrected,rmse,surface_sd_mm,deep_sd_mm,surface_dle_mm,deep_dle_mm,has_deep_true,deep_score,deep_peak_distance_mm,deep_detected,deep_false_positive,active_count,surface_active_count,deep_active_count
erp-v6-development-00-eeg+05-meg+05,erp-v6-development-00,surface_only,5,5,v6-surface-only,ok,1,0.9162654320987654,0.9447853670105537,0.9446672608437313,nan,1.50508379317076,6.947930153508265,nan,12.18186744690015,nan,0,0.0,nan,0,0,16,16,0
erp-v6-development-00-eeg+05-meg+05,erp-v6-development-00,surface_only,5,5,v6-full-ungated,ok,1,0.916388888888889,0.9446000830072334,0.9446078431372548,nan,1.5056538340482812,6.946909972017015,nan,12.18186744690015,nan,0,0.025897628884617746,nan,0,0,21,16,5
erp-v6-development-01-eeg+05-meg+05,erp-v6-development-01,surface_only,5,5,v6-surface-only,ok,1,0.8848227859402101,0.9325086955520236,0.9323641165091574,nan,1.6662692307765525,8.765906961961157,nan,13.8948251319721,nan,0,0.0,nan,0,0,16,16,0
erp-v6-development-01-eeg+05-meg+05,erp-v6-development-01,surface_only,5,5,v6-full-ungated,ok,1,0.8847481124375063,0.9322230668233018,0.9322717808320369,nan,1.6666127443264844,8.766796899814096,nan,13.8948251319721,nan,0,0.018604336369738354,nan,0,0,26,16,10
erp-v6-development-02-eeg+05-meg+05,erp-v6-development-02,deep_only,5,5,v6-surface-only,ok,0,0.01,0.0009982696659124324,nan,0.5,1.9999999999999964,nan,nan,nan,nan,1,0.0,nan,0,0,13,13,0
erp-v6-development-02-eeg+05-meg+05,erp-v6-development-02,deep_only,5,5,v6-full-ungated,ok,0,1.0,1.0,nan,1.0,0.04377057362280589,nan,0.0,nan,0.0,1,1.0,0.0,1,0,1495,1494,1
erp-v6-development-03-eeg+05-meg+05,erp-v6-development-03,deep_plus_surface,5,5,v6-surface-only,ok,1,0.5138348765432099,0.9059267581896704,0.9561125965537729,0.5,1.5994108232677775,8.399164646023621,nan,12.18186744690015,nan,1,0.0,nan,0,0,16,16,0
erp-v6-development-03-eeg+05-meg+05,erp-v6-development-03,deep_plus_surface,5,5,v6-full-ungated,ok,1,0.7110493827160493,0.9541027351567712,0.9546271538918596,0.8,1.7216511018786236,8.414351851041198,14.142136204249596,12.18186744690015,14.142136204249597,1,1.0,14.142136204249597,0,0,17,16,1
erp-v6-development-04-eeg+05-meg+05,erp-v6-development-04,deep_plus_two_surface,5,5,v6-surface-only,ok,1,0.6650347328503895,0.9072844290040976,0.938412103360557,0.5,1.6957298772005256,9.05360930076021,nan,13.8948251319721,nan,1,0.0,nan,0,0,11,11,0
erp-v6-development-04-eeg+05-meg+05,erp-v6-development-04,deep_plus_two_surface,5,5,v6-full-ungated,ok,1,0.7428889909192941,0.9372884375556744,0.9384444208475493,0.5333333333333333,1.8347112153034584,9.031411400569755,14.142136204249596,13.8948251319721,14.142136204249597,1,1.0,14.142136204249597,0,0,12,11,1
