subject,cohort,method,n20_left_s1_enrichment_median,n20_peak_euclidean_distance_to_left_s1_mm_median,p30_left_s1_enrichment_median,p30_peak_euclidean_distance_to_left_s1_mm_median,n20_run_map_spearman_mean,p30_run_map_spearman_mean
sm04,locked_validation,OASTER ERP Joint,0.0,14.985640254411217,37.0,0.0,-0.00228241438135175,1.0
sm04,locked_validation,OASTER Joint,26.327543565936292,0.0,25.749833181040405,0.0,0.7040277832165143,0.7122869297156869
sm04,locked_validation,OASTER EEG,30.529565487356496,0.0,33.405078881041625,0.0,0.7380186674789049,0.7737255502821831
sm04,locked_validation,OASTER MAG,36.179164765347316,0.0,36.17778858962824,0.0,0.8062522497749424,0.8198224599378469
sm04,locked_validation,dSPM Joint,2.7752332138274447,20.24312271090311,8.21012839756129,0.0,0.21826149904990336,0.409036672056959
sm04,locked_validation,eLORETA Joint,2.783204513001513,20.24312271090311,9.270103096986334,0.0,0.21766743735234803,0.37375308690831743
sm06,locked_validation,OASTER ERP Joint,0.0,37.63620067921606,37.0,0.0,-0.0006182153845424102,1.0
sm06,locked_validation,OASTER Joint,25.25120145208615,0.0,25.370025479221187,0.0,0.2607940112782473,0.47463403895760464
sm06,locked_validation,OASTER EEG,18.5040118567794,0.0,18.572887724969767,0.0,0.296401775902893,0.4930133747818213
sm06,locked_validation,OASTER MAG,20.988531607071568,0.0,21.58791839070111,0.0,0.7775026641163668,0.8086289603328402
sm06,locked_validation,dSPM Joint,2.2793358685371654,36.87408758497901,8.221841754240382,0.0,0.31559815152385545,0.6778360609737972
sm06,locked_validation,eLORETA Joint,2.5677400881339087,36.87408758497901,9.290276374206353,0.0,0.29618193957476185,0.6530329311344879
sm07,locked_validation,OASTER ERP Joint,0.0,7.275623433066325,0.0,12.375811021930417,-0.0007667689339007317,-0.0034700937911148863
sm07,locked_validation,OASTER Joint,35.70414392334058,0.0,35.972185241667276,0.0,0.488215340919904,0.3588578966989086
sm07,locked_validation,OASTER EEG,33.99250923537201,0.0,34.12909359635594,0.0,0.5332677553007099,0.47089992918554485
sm07,locked_validation,OASTER MAG,34.68399101800339,0.0,35.04116244675044,0.0,0.44678988383448015,0.5300821276522091
sm07,locked_validation,dSPM Joint,3.3627857904289398,11.689380535119328,3.7377624937742264,4.172139973530336,0.08950599570668295,0.11356111948883492
sm07,locked_validation,eLORETA Joint,3.2871285015198044,0.0,3.6514124789715092,0.0,0.08570467221100896,0.1111082500035782
sm09,development,OASTER ERP Joint,0.17992823734162916,8.091261528970586,0.0,8.054066133979623,0.1098741754938297,1.0
sm09,development,OASTER Joint,1.177261162876753,8.054066133979623,1.269627505265908,8.054066133979623,0.26047589032850943,0.4174274046871129
sm09,development,OASTER EEG,0.9119343181546837,6.113390775257759,0.9728797906760699,6.113390775257759,0.37520899623035736,0.416354492819925
sm09,development,OASTER MAG,0.10150278522794282,17.008512258520977,0.06707397179392718,17.008512258520977,0.5557308956863908,0.5900379555286818
sm09,development,dSPM Joint,3.9536150006426842,0.0,5.682180070129167,5.799669850145132,0.1889827685191945,0.5638844923759326
sm09,development,eLORETA Joint,3.8250441763603815,0.0,6.1363488814912435,5.799669850145132,0.1649527431615958,0.5387837958891314
sm12,locked_validation,OASTER ERP Joint,30.472229171054554,0.0,37.0,0.0,0.6117674249949037,1.0
sm12,locked_validation,OASTER Joint,29.92105725534269,0.0,20.99194311582633,0.0,0.5200318670876648,0.5429017653068288
sm12,locked_validation,OASTER EEG,33.679941486937125,0.0,33.467128829146624,0.0,0.7371543414769096,0.7309725188201535
sm12,locked_validation,OASTER MAG,32.57211075860221,0.0,33.589581183434326,0.0,0.47090073636046625,0.5117088753519153
sm12,locked_validation,dSPM Joint,5.582784158227501,4.172139973530336,5.952699710222308,4.927584399979452,0.2623643197801157,0.427851732531155
sm12,locked_validation,eLORETA Joint,5.311607999818116,0.0,7.679512030245378,4.927584399979452,0.19091426789090174,0.37001876944794615
